base_name,indication,mg_per_dose,dosing_period,daily_dose,dosage_forms,ephmra_code
amivantamab,First-line NSCLC with EGFR exon 20 insertion mutations (combination with carboplatin and pemetrexed),1750|2100,every 3 weeks,83.33|100.0,350/7 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
amivantamab,Previously treated NSCLC with EGFR exon 20 insertion mutations (single agent),1050|1400,every 2 weeks,75.0|100.0,350/7 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
anifrolumab,moderate to severe systemic lupus erythematosus (SLE),300,every 4 weeks,10.71,300/2 vial,L4X (Other Immunosupressants)
ansuvimab,Orthoebolavirus zairense infection,3500,single dose,3500,400 vial,J5B9 (Antivirals Other)
atezolizumab,NSCLC (adjuvant),840|1200|1680|1875,every 2 weeks|every 3 weeks|every 4 weeks,30.86|89.3,840/14 vial|1200/20 vial|1875/15 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,NSCLC (metastatic),840|1200|1680|1875,every 2 weeks|every 3 weeks|every 4 weeks,30.86|89.3,840/14 vial|1200/20 vial|1875/15 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,SCLC,840|1200|1680|1875,every 2 weeks|every 3 weeks|every 4 weeks,30.86|89.3,840/14 vial|1200/20 vial|1875/15 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,HCC,840|1200|1680|1875,every 2 weeks|every 3 weeks|every 4 weeks,30.86|89.3,840/14 vial|1200/20 vial|1875/15 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,Melanoma,840|1200|1680|1875,every 2 weeks|every 3 weeks|every 4 weeks,30.86|89.3,840/14 vial|1200/20 vial|1875/15 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,ASPS,840|1200|1680|1875,every 2 weeks|every 3 weeks|every 4 weeks,30.86|89.3,840/14 vial|1200/20 vial|1875/15 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atoltivimab,Orthoebolavirus zairense infection,3500,single dose,3500,16.67/16.67/16.67 per mL vial|33.33/33.33/33.33 per mL vial,J5B9 (Antivirals Other)
avelumab,Merkel Cell Carcinoma,800,every 2 weeks,57.14,200/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
avelumab,Urothelial Carcinoma,800,every 2 weeks,57.14,200/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
avelumab,Renal Cell Carcinoma,800,every 2 weeks,57.14,200/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
axatilimab,chronic graft-versus-host disease (cGVHD) after failure of at least two prior lines of systemic therapy,21.0,every 2 weeks,1.5,9/0.18 vial|22/0.44 vial|50/mL vial,L4X (Other Immunosupressants)
basiliximab,prophylaxis of acute organ rejection in renal transplantation,20.0,single course (2 doses total),0.11,10 vial|20 vial,L4X (Other Immunosupressants)
belantamab,"relapsed or refractory multiple myeloma who have received at least two prior lines of therapy, including a proteasome inhibitor and an immunomodulatory agent",175,every 3 weeks,8.33,70 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
belimumab,Active systemic lupus erythematosus (SLE),700|200,every 4 weeks|weekly,18.15|28.57,120 vial|400 vial|200 autoinjector|200 prefilled syringe,L4X (Other Immunosupressants)
belimumab,Active lupus nephritis,700|200,every 4 weeks|weekly,18.15|28.57,120 vial|400 vial|200 autoinjector|200 prefilled syringe,L4X (Other Immunosupressants)
benralizumab,Severe asthma with eosinophilic phenotype,30,every 8 weeks,2.31,30/1 syringe|30/1 pen,R3M (Interleukin Inhibitor Anti-Asthmatics)
benralizumab,Eosinophilic granulomatosis with polyangiitis (EGPA),30,every 4 weeks,4.62,30/1 syringe|30/1 pen,L4C (Interleukin Inhibitors)
bevacizumab,Metastatic colorectal cancer (with bolus-IFL),350,every 2 weeks,13.46|25.0|17.86,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Metastatic colorectal cancer (with FOLFOX4),700,every 2 weeks,26.92|50.0|35.71,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Metastatic colorectal cancer (second-line, every 2 weeks)",350,every 2 weeks,13.46|25.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Metastatic colorectal cancer (second-line, every 3 weeks)",525,every 3 weeks,25.0|15.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,First-line non-squamous non-small cell lung cancer,1050,every 3 weeks,50.0|30.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Recurrent glioblastoma,700,every 2 weeks,26.92|50.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Metastatic renal cell carcinoma,700,every 2 weeks,26.92|50.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Persistent, recurrent, or metastatic cervical cancer",1050,every 3 weeks,50.0|30.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer",700|1050,every 2 weeks|every 3 weeks,26.92|50.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Stage III or IV epithelial ovarian, fallopian tube or primary peritoneal cancer",1050|700,every 3 weeks|every 2 weeks,50.0|26.92|30.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Platinum-sensitive recurrent epithelial ovarian cancer,1050,every 3 weeks,50.0,100/4 vial|400/16 vial,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bezlotoxumab,Clostridioides difficile infection (CDI) recurrence reduction,700,single dose,1.92,1000/40 vial,A7A (Intestinal Anti-infectives)
bimekizumab,plaque psoriasis,320,every 8 weeks,6.15,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,L4C (Interleukin Inhibitors)
bimekizumab,plaque psoriasis (≥120 kg),320,every 4 weeks,11.43,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,L4C (Interleukin Inhibitors)
bimekizumab,psoriatic arthritis,160,every 4 weeks,5.71,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,L4C (Interleukin Inhibitors)
bimekizumab,non-radiographic axial spondyloarthritis,160,every 4 weeks,5.71,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,L4C (Interleukin Inhibitors)
bimekizumab,ankylosing spondylitis,160,every 4 weeks,5.71,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,L4C (Interleukin Inhibitors)
bimekizumab,hidradenitis suppurativa,320,every 4 weeks,11.43,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,L4C (Interleukin Inhibitors)
blinatumomab,B-cell Precursor ALL,28.0,"daily for 28 days, then 14 days off (42-day cycles) or daily for 28 days, then 14 days off (42-day cycles for consolidation), then 28 days on/56 days off (84-day cycles for continued therapy)",18.67,35 mcg vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Previously untreated Stage III or IV classical Hodgkin lymphoma in combination with chemotherapy,84,every 2 weeks,3.12,50 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Classical Hodgkin lymphoma consolidation,126,every 3 weeks,2.76,50 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Relapsed classical Hodgkin lymphoma,126,every 3 weeks,2.76,50 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Previously untreated systemic ALCL or other CD30-expressing peripheral T-cell lymphomas in combination with chemotherapy,126,every 3 weeks,2.76,50 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Relapsed systemic ALCL,126,every 3 weeks,2.76,50 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Relapsed primary cutaneous ALCL or CD30-expressing mycosis fungoides,126,every 3 weeks,2.76,50 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Relapsed or refractory LBCL in combination with lenalidomide and rituximab,84,every 3 weeks,1.84,50 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
brodalumab,moderate to severe plaque psoriasis,210,every 2 weeks,15.0,210/1.5 syringe,L4C (Interleukin Inhibitors)
brolucizumab,Neovascular (Wet) Age-Related Macular Degeneration (AMD),6,every 8-12 weeks,0.59,6/0.05 pre-filled syringe|6/0.05 vial,S1P (Ocular Antineovascularisation Products)
brolucizumab,Diabetic Macular Edema (DME),6,every 8-12 weeks,0.59,6/0.05 pre-filled syringe|6/0.05 vial,S1P (Ocular Antineovascularisation Products)
burosumab,X-linked hypophosphatemia (XLH),70,every 4 weeks,6.73,10/1 vial|20/1 vial|30/1 vial,M5X (All Other Musculoskeletal Products)
burosumab,Tumor-induced osteomalacia (TIO),35,every 4 weeks,3.36,10/1 vial|20/1 vial|30/1 vial,M5X (All Other Musculoskeletal Products)
caplacizumab,acquired thrombotic thrombocytopenic purpura (aTTP),11,daily,11,11 vial,B1X (Other Antithrombotic Agents)
cemiplimab,Cutaneous Squamous Cell Carcinoma (metastatic or locally advanced),350,every 3 weeks,16.67,350/7 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
cemiplimab,Cutaneous Squamous Cell Carcinoma (adjuvant treatment),350,"every 3 weeks for 12 weeks, then 700mg every 6 weeks",16.67,350/7 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
cemiplimab,Basal Cell Carcinoma (locally advanced or metastatic),350,every 3 weeks,16.67,350/7 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
cemiplimab,Non-Small Cell Lung Cancer,350,every 3 weeks,16.67,350/7 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
certolizumab,Crohn's Disease,400,every 4 weeks,14.29,200 lyophilized powder vial|200/1 prefilled syringe,L4B (Anti-TNF Products)
certolizumab,Rheumatoid Arthritis,200|400,every other week|every 4 weeks,14.29,200 lyophilized powder vial|200/1 prefilled syringe,L4B (Anti-TNF Products)
certolizumab,Psoriatic Arthritis,200|400,every other week|every 4 weeks,14.29,200 lyophilized powder vial|200/1 prefilled syringe,L4B (Anti-TNF Products)
certolizumab,Ankylosing Spondylitis,200|400,every 2 weeks|every 4 weeks,14.29,200 lyophilized powder vial|200/1 prefilled syringe,L4B (Anti-TNF Products)
certolizumab,Non-radiographic Axial Spondyloarthritis,200|400,every 2 weeks|every 4 weeks,14.29,200 lyophilized powder vial|200/1 prefilled syringe,L4B (Anti-TNF Products)
certolizumab,Plaque Psoriasis,400|200,every other week,28.57|14.29,200 lyophilized powder vial|200/1 prefilled syringe,L4B (Anti-TNF Products)
cetuximab,Squamous Cell Carcinoma of the Head and Neck,425|850,weekly|every 2 weeks,60.7,100/50 vial|200/100 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
cetuximab,K-Ras Wild-type Colorectal Cancer,425|850,weekly|every 2 weeks,60.7,100/50 vial|200/100 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
cetuximab,BRAF V600E Mutation-Positive Metastatic Colorectal Cancer,425,weekly,60.7,100/50 vial|200/100 vial,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
concizumab,hemophilia A (congenital factor VIII deficiency) with or without FVIII inhibitors,14.0,daily,14.0,60/1.5 pen|150/1.5 pen|300/3 pen,B2D3 (Haemophilia Anti-Inhibitor Products)
concizumab,hemophilia B (congenital factor IX deficiency) with or without FIX inhibitors,14.0,daily,14.0,60/1.5 pen|150/1.5 pen|300/3 pen,B2D3 (Haemophilia Anti-Inhibitor Products)
cosibelimab,metastatic cutaneous squamous cell carcinoma (mCSCC) or locally advanced CSCC (laCSCC),1200,every 3 weeks,57.14,300/5 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
crizanlizumab,sickle cell disease - reduce frequency of vaso-occlusive crises,350,every 4 weeks,12.5,100/10 vial,B6X (Other Haematological Agents)
crovalimab,paroxysmal nocturnal hemoglobinuria (PNH),680|1020,every 4 weeks,17.14|25.71,340/2 vial,L6X (Other Haematological Agents)
daratumumab,multiple myeloma monotherapy,1120|1800,every 4 weeks,40|46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,multiple myeloma in combination with lenalidomide and dexamethasone,1120|1800,every 4 weeks,40|46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,"multiple myeloma in combination with bortezomib, melphalan and prednisone",1120|1800,every 4 weeks,40|46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,multiple myeloma in combination with bortezomib and dexamethasone,1120|1800,every 4 weeks,40|46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,multiple myeloma in combination with carfilzomib and dexamethasone,1120|1800,every 4 weeks,40|46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,multiple myeloma in combination with pomalidomide and dexamethasone,1120|1800,every 4 weeks,40|46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,"multiple myeloma in combination with bortezomib, lenalidomide, and dexamethasone",1800,every 4 weeks,46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,high-risk smoldering multiple myeloma monotherapy,1800,every 4 weeks,46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,"light chain amyloidosis in combination with bortezomib, cyclophosphamide and dexamethasone",1800,every 4 weeks,46.15,100/5 vial|400/20 vial|1800/15 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
datopotamab,Locally Advanced or Metastatic EGFR-Mutated Non-Small Cell Lung Cancer (NSCLC),420,every 3 weeks,20.0,100 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
datopotamab,"Unresectable or Metastatic, HR-Positive, HER2-Negative Breast Cancer",420,every 3 weeks,20.0,100 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
denosumab,postmenopausal women with osteoporosis at high risk for fracture,60,every 6 months,0.33,60/1 prefilled syringe,M5B9 (Other Bone Calcium Regulators)
denosumab,men with osteoporosis at high risk for fracture,60,every 6 months,0.33,60/1 prefilled syringe,M5B9 (Other Bone Calcium Regulators)
denosumab,glucocorticoid-induced osteoporosis in men and women at high risk for fracture,60,every 6 months,0.33,60/1 prefilled syringe,M5B9 (Other Bone Calcium Regulators)
denosumab,men at high risk for fracture receiving androgen deprivation therapy for nonmetastatic prostate cancer,60,every 6 months,0.33,60/1 prefilled syringe,M5B9 (Other Bone Calcium Regulators)
denosumab,women at high risk for fracture receiving adjuvant aromatase inhibitor therapy for breast cancer,60,every 6 months,0.33,60/1 prefilled syringe,M5B9 (Other Bone Calcium Regulators)
denosumab,Multiple Myeloma and Bone Metastasis from Solid Tumors,120,every 4 weeks,6.43|6.92,120/1.7 vial|120/1.7 syringe,M5B9 (Other Bone Calcium Regulators)
denosumab,Giant Cell Tumor of Bone,120,every 4 weeks,6.43|6.92,120/1.7 vial|120/1.7 syringe,M5B9 (Other Bone Calcium Regulators)
denosumab,Hypercalcemia of Malignancy,120,every 4 weeks,6.43|6.92,120/1.7 vial|120/1.7 syringe,M5B9 (Other Bone Calcium Regulators)
depemokimab,severe asthma characterized by an eosinophilic phenotype,100,every 6 months,0.55,100/1 pen|100/1 syringe,R3M (Interleukin Inhibitor Anti-Asthmatics)
donanemab,Alzheimer's disease,1400,every 4 weeks,50,350/20 vial,N7D9 (All Other Anti-Alzheimer Products)
dostarlimab,Primary advanced or recurrent endometrial cancer (combination therapy),500,every 3 weeks for 6 cycles then 1000 mg every 6 weeks,86.3,500/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
dostarlimab,dMMR recurrent or advanced endometrial cancer (monotherapy),500,every 3 weeks for 4 cycles then 1000 mg every 6 weeks,86.3,500/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
dostarlimab,dMMR recurrent or advanced solid tumors (monotherapy),500,every 3 weeks for 4 cycles then 1000 mg every 6 weeks,86.3,500/10 vial,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
eculizumab,PNH,900,every 2 weeks,64.29|64.3,300/30 vial,L4E (Complement Inhibitors)
eculizumab,aHUS,1200,every 2 weeks,85.71|85.7,300/30 vial,L4E (Complement Inhibitors)
eculizumab,gMG,1200,every 2 weeks,85.71|85.7,300/30 vial,L4E (Complement Inhibitors)
eculizumab,NMOSD,1200,every 2 weeks,85.71,300/30 vial,L4E (Complement Inhibitors)
emapalumab,Primary hemophagocytic lymphohistiocytosis,70.0,twice weekly,20.0,10/2 vial|50/10 vial|100/20 vial|50/2 vial|100/4 vial|250/10 vial|500/20 vial,L4X (Other Immunosuppressants)
emapalumab,HLH/macrophage activation syndrome in Still's disease,60.0,twice weekly,120.0,10/2 vial|50/10 vial|100/20 vial|50/2 vial|100/4 vial|250/10 vial|500/20 vial,L4X (Other Immunosuppressants)
emicizumab,hemophilia A prophylaxis,105|210|420,weekly|every 2 weeks|every 4 weeks,15.0,12/0.4|30/1|60/0.4|105/0.7|150/1|300/2,B2D1 (Factor VIII Including Substitutes)
enfortumab,Muscle Invasive Bladder Cancer (MIBC) - combination therapy,87.5,days 1 and 8 of 21-day cycle,8.33,20 vial|30 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
enfortumab,Locally advanced or metastatic Urothelial Cancer (mUC) - combination therapy,87.5,days 1 and 8 of 21-day cycle,8.33,20 vial|30 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
enfortumab,Locally advanced or metastatic Urothelial Cancer (mUC) - single agent,87.5,"days 1, 8, and 15 of 28-day cycle",11.16,20 vial|30 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
epcoritamab,DLBCL and High-grade B-cell Lymphoma,48,monthly,1.58,4/0.8 vial|48/0.8 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
epcoritamab,Follicular Lymphoma,48,monthly,1.58,4/0.8 vial|48/0.8 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
eptinezumab,preventive treatment of migraine,100|300,every 3 months,1.1|3.29,100/mL vial,N2C2 (Anti-Migraine CGRP Antagonists)
erenumab,preventive treatment of migraine,70|140,once monthly,2.33|4.66,70/1 autoinjector|70/1 syringe|140/1 autoinjector|140/1 syringe,N2C2 (Anti-Migraine CGRP Antagonists)
evinacumab,homozygous familial hypercholesterolemia,1050,monthly,34.25,345/2.3 vial|1200/8 vial,C10A9 (Lipid-Regulating Products Other)
evolocumab,CV risk reduction,140|420,every 2 weeks|monthly,10.0|11.51,140/1 autoinjector|140/1 syringe|420/3.5 on-body infusor,C10A4 (PCSK9 Inhibitors)
evolocumab,hypercholesterolemia,140|420,every 2 weeks|monthly,10.0|11.51,140/1 autoinjector|140/1 syringe|420/3.5 on-body infusor,C10A4 (PCSK9 Inhibitors)
evolocumab,HeFH,140|420,every 2 weeks|monthly,10.0|11.51,140/1 autoinjector|140/1 syringe|420/3.5 on-body infusor,C10A4 (PCSK9 Inhibitors)
evolocumab,HoFH,420,monthly|every 2 weeks,11.51|20.0,140/1 autoinjector|140/1 syringe|420/3.5 on-body infusor,C10A4 (PCSK9 Inhibitors)
fam-trastuzumab,HER2-Positive Metastatic Breast Cancer,378,every 3 weeks,18,100 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Low Metastatic Breast Cancer,378,every 3 weeks,18,100 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Ultralow Metastatic Breast Cancer,378,every 3 weeks,18,100 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Mutant Unresectable or Metastatic Non-Small Cell Lung Cancer,378,every 3 weeks,18,100 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Positive Locally Advanced or Metastatic Gastric Cancer,448,every 3 weeks,21.3,100 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Positive (IHC 3+) Unresectable or Metastatic Solid Tumors,378,every 3 weeks,18,100 vial,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
faricimab,Neovascular (Wet) Age-Related Macular Degeneration (nAMD),6,every 8-16 weeks,0.14,6/0.05 prefilled syringe|6/0.05 vial,S1P (Ocular Antineovascularisation Products)
faricimab,Diabetic Macular Edema (DME),6,every 4-8 weeks,0.28,6/0.05 prefilled syringe|6/0.05 vial,S1P (Ocular Antineovascularisation Products)
faricimab,Macular Edema Following Retinal Vein Occlusion (RVO),6,every 4 weeks,0.55,6/0.05 prefilled syringe|6/0.05 vial,S1P (Ocular Antineovascularisation Products)
fremanezumab,preventive treatment of migraine in adults,225|675,monthly|every 3 months,7.4,225/1.5 autoinjector|225/1.5 syringe,N2C2 (Anti-Migraine CGRP Antagonists)
galcanezumab,migraine prevention,120,monthly,3.95,120/1 pen|120/1 syringe|100/1 syringe,N2C2 (Anti-Migraine CGRP Antagonists)
galcanezumab,episodic cluster headache,300,monthly,9.86,120/1 pen|120/1 syringe|100/1 syringe,N2C2 (Anti-Migraine CGRP Antagonists)
garadacimab,hereditary angioedema (HAE) prophylaxis,200,monthly,6.58,200/1.2 autoinjector|200/1.2 syringe,B6D (Hereditary Angioedema Products)
gemtuzumab,newly-diagnosed CD33-positive AML (combination regimen),5.1,consolidation cycles,0.03,4.5 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
gemtuzumab,newly-diagnosed CD33-positive AML (single-agent regimen),3.4,every 4 weeks,0.31,4.5 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
gemtuzumab,relapsed or refractory CD33-positive AML,5.1,single course,0.04,4.5 vial,L1G9 (Monoclonal Antibody Antineoplastics Other)
glofitamab,"relapsed or refractory diffuse large B-cell lymphoma, not otherwise specified (DLBCL, NOS) or large B-cell lymphoma (LBCL) arising from follicular lymphoma, after two or more lines of systemic therapy",30,every 21 days,1.43,2.5/2.5 vial|10/10 vial,L1G1 (Monoclonal Antibody Antineoplastics CD20)
golimumab,rheumatoid arthritis,50|140,every 4 weeks|every 8 weeks,1.37|12.32,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,L4B (Anti-TNF Products)
golimumab,psoriatic arthritis,50|140,every 4 weeks|every 8 weeks,1.37|12.32,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,L4B (Anti-TNF Products)
golimumab,ankylosing spondylitis,50|140,every 4 weeks|every 8 weeks,1.37|12.32,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,L4B (Anti-TNF Products)
golimumab,ulcerative colitis,100,every 4 weeks,2.74,50/0.5 syringe|100/1.0 syringe|50/0.5 autoinjector|100/1.0 autoinjector|50/4 vial,L4B (Anti-TNF Products)
guselkumab,plaque psoriasis,100,every 8 weeks,8.93,100/1 pen|100/1 syringe|100/1 injector|200/2 pen|200/2 syringe,L4C (Interleukin Inhibitors)
guselkumab,psoriatic arthritis,100,every 8 weeks,8.93,100/1 pen|100/1 syringe|100/1 injector|200/2 pen|200/2 syringe,L4C (Interleukin Inhibitors)
