base_name,indication,mg_per_dose,dosing_period,dosage_forms,route,designated_daily_dose,ephmra_code
alirocumab,major adverse cardiovascular events prevention,300,every 4 weeks,75/1 pen|150/1 pen,subcutaneous,5.34,C10A4 (PCSK9 Inhibitors)
amivantamab,First-line NSCLC with EGFR exon 19 deletions or exon 21 L858R substitution mutations (combination with lazertinib),1050,every 2 weeks,350/7 vial,intravenous,75.0,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
amivantamab,Previously treated NSCLC with EGFR exon 19 deletions or exon 21 L858R substitution mutations (combination with carboplatin and pemetrexed),1750,every 3 weeks,350/7 vial,intravenous,83.33,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
amivantamab,First-line NSCLC with EGFR exon 20 insertion mutations (combination with carboplatin and pemetrexed),1750,every 3 weeks,350/7 vial,intravenous,83.33,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
amivantamab,Previously treated NSCLC with EGFR exon 20 insertion mutations (single agent),1050,every 2 weeks,350/7 vial,intravenous,75.0,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
anifrolumab,moderate to severe systemic lupus erythematosus (SLE),300,every 4 weeks,300/2 vial,intravenous,10.68,L4X (Other Immunosupressants)
ansuvimab,Orthoebolavirus zairense infection,3500,single dose,400 vial,intravenous,9.59,J5B9 (Antivirals Other)
atezolizumab,NSCLC adjuvant,1200,every 3 weeks,840/14 vial|1200/20 vial,intravenous,55.89,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,NSCLC metastatic,1200,every 3 weeks,840/14 vial|1200/20 vial,intravenous,55.89,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,SCLC,1200,every 3 weeks,840/14 vial|1200/20 vial,intravenous,55.89,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,HCC,1200,every 3 weeks,840/14 vial|1200/20 vial,intravenous,55.89,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,Melanoma,1200,every 3 weeks,840/14 vial|1200/20 vial,intravenous,55.89,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,ASPS adult,1200,every 3 weeks,840/14 vial|1200/20 vial,intravenous,55.89,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,NSCLC adjuvant,1875,every 3 weeks,1875/15 vial,subcutaneous,87.33,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,NSCLC metastatic,1875,every 3 weeks,1875/15 vial,subcutaneous,87.33,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,SCLC,1875,every 3 weeks,1875/15 vial,subcutaneous,87.33,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,HCC,1875,every 3 weeks,1875/15 vial,subcutaneous,87.33,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,Melanoma,1875,every 3 weeks,1875/15 vial,subcutaneous,87.33,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atezolizumab,ASPS adult,1875,every 3 weeks,1875/15 vial,subcutaneous,87.33,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
atoltivimab,Orthoebolavirus zairense infection,3500,single dose,241.7/14.5 vial|483.3/14.5 vial,intravenous,9.59,J5B9 (Antivirals Other)
avelumab,Merkel Cell Carcinoma,800,every 2 weeks,200/10 vial,intravenous,56.99,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
avelumab,Urothelial Carcinoma,800,every 2 weeks,200/10 vial,intravenous,56.99,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
avelumab,Renal Cell Carcinoma,800,every 2 weeks,200/10 vial,intravenous,56.99,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
axatilimab,chronic graft-versus-host disease (cGVHD) after failure of at least two prior lines of systemic therapy,21,every 2 weeks,9/0.18 vial|22/0.44 vial|50/mL vial,intravenous,1.5,L4X (Other Immunosupressants)
basiliximab,prophylaxis of acute organ rejection in renal transplantation,20,two doses total (day 0 and day 4),10/vial|20/vial,intravenous,0.11,L1G9 (Monoclonal Antibody Antineoplastics Other)
belantamab,"relapsed or refractory multiple myeloma who have received at least two prior lines of therapy, including a proteasome inhibitor and an immunomodulatory agent",175,every 3 weeks,70 vial,intravenous,8.33,L1G9 (Monoclonal Antibody Antineoplastics Other)
belimumab,Active systemic lupus erythematosus (SLE),700,every 4 weeks,120 vial|400 vial,intravenous,24.93,L4X (Other Immunosupressants)
belimumab,Active systemic lupus erythematosus (SLE),200,weekly,200/1 autoinjector|200/1 prefilled syringe,subcutaneous,28.49,L4X (Other Immunosupressants)
belimumab,Active lupus nephritis,700,every 4 weeks,120 vial|400 vial,intravenous,24.93,L4X (Other Immunosupressants)
belimumab,Active lupus nephritis,200,weekly,200/1 autoinjector|200/1 prefilled syringe,subcutaneous,28.49,L4X (Other Immunosupressants)
benralizumab,severe asthma with eosinophilic phenotype,30,every 8 weeks,10/0.5 syringe|30/1 syringe|30/1 pen,subcutaneous,0.49,R3M (Interleukin Inhibitor Anti-Asthmatics)
benralizumab,eosinophilic granulomatosis with polyangiitis,30,every 4 weeks,10/0.5 syringe|30/1 syringe|30/1 pen,subcutaneous,1.07,R3M (Interleukin Inhibitor Anti-Asthmatics)
bevacizumab,Metastatic colorectal cancer (with bolus-IFL),350,every 2 weeks,100/4 vial|400/16 vial,intravenous,24.93,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Metastatic colorectal cancer (with FOLFOX4),700,every 2 weeks,100/4 vial|400/16 vial,intravenous,49.86,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Metastatic colorectal cancer (second-line),437.5,every 2.5 weeks,100/4 vial|400/16 vial,intravenous,25.17,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,First-line non-squamous non-small cell lung cancer,1050,every 3 weeks,100/4 vial|400/16 vial,intravenous,48.9,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Recurrent glioblastoma,700,every 2 weeks,100/4 vial|400/16 vial,intravenous,49.86,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Metastatic renal cell carcinoma,700,every 2 weeks,100/4 vial|400/16 vial,intravenous,49.86,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Persistent, recurrent, or metastatic cervical cancer",1050,every 3 weeks,100/4 vial|400/16 vial,intravenous,48.9,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Platinum-resistant recurrent epithelial ovarian, fallopian tube or primary peritoneal cancer",875,every 2.5 weeks,100/4 vial|400/16 vial,intravenous,50.34,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Metastatic colorectal cancer (second-line after bevacizumab progression),437.5,every 2.5 weeks,100/4 vial|400/16 vial,intravenous,25.17,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Stage III or IV epithelial ovarian, fallopian tube or primary peritoneal cancer",1050,every 3 weeks,100/4 vial|400/16 vial,intravenous,48.9,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,"Platinum-sensitive recurrent epithelial ovarian, fallopian tube, or primary peritoneal cancer",1050,every 3 weeks,100/4 vial|400/16 vial,intravenous,48.9,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bevacizumab,Hepatocellular carcinoma,1050,every 3 weeks,100/4 vial|400/16 vial,intravenous,48.9,L1G2 (Monoclonal Antibody Antineoplastics VEGF/VEGFR)
bezlotoxumab,Clostridioides difficile infection (CDI) recurrence prevention,700,single dose,1000/40 vial,intravenous,1.92,A7A (Intestinal Anti-infectives)
bimekizumab,plaque psoriasis,320,every 8 weeks,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,subcutaneous,5.26,L4C (Interleukin Inhibitors)
bimekizumab,plaque psoriasis (≥120kg),320,every 4 weeks,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,subcutaneous,11.4,L4C (Interleukin Inhibitors)
bimekizumab,psoriatic arthritis,160,every 4 weeks,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,subcutaneous,5.7,L4C (Interleukin Inhibitors)
bimekizumab,non-radiographic axial spondyloarthritis,160,every 4 weeks,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,subcutaneous,5.7,L4C (Interleukin Inhibitors)
bimekizumab,ankylosing spondylitis,160,every 4 weeks,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,subcutaneous,5.7,L4C (Interleukin Inhibitors)
bimekizumab,hidradenitis suppurativa,320,every 4 weeks,160/1 syringe|160/1 autoinjector|320/2 syringe|320/2 autoinjector,subcutaneous,11.4,L4C (Interleukin Inhibitors)
blinatumomab,B-cell Precursor ALL,0.028,continuous daily for 28 days followed by 14-day treatment-free interval,35 mcg vial,intravenous,0.01,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Previously untreated Stage III or IV classical Hodgkin lymphoma in combination with chemotherapy,84,every 2 weeks,50 vial,intravenous,5.98,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Classical Hodgkin lymphoma consolidation,126,every 3 weeks,50 vial,intravenous,5.87,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Relapsed classical Hodgkin lymphoma,126,every 3 weeks,50 vial,intravenous,5.87,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Previously untreated systemic ALCL or other CD30-expressing peripheral T-cell lymphomas in combination with chemotherapy,126,every 3 weeks,50 vial,intravenous,5.87,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Relapsed systemic ALCL,126,every 3 weeks,50 vial,intravenous,5.87,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Relapsed primary cutaneous ALCL or CD30-expressing mycosis fungoides,126,every 3 weeks,50 vial,intravenous,5.87,L1G9 (Monoclonal Antibody Antineoplastics Other)
brentuximab,Relapsed or refractory LBCL in combination with lenalidomide and rituximab,84,every 3 weeks,50 vial,intravenous,3.91,L1G9 (Monoclonal Antibody Antineoplastics Other)
brodalumab,moderate to severe plaque psoriasis,210,every 2 weeks,210/1.5 syringe,subcutaneous,14.96,L4C (Interleukin Inhibitors)
brolucizumab,Neovascular (Wet) Age-Related Macular Degeneration (AMD),6,every 8-12 weeks,6/0.05 pre-filled syringe|6/0.05 vial,intravitreal,0.08,S1P (Ocular Antineovascularisation Products)
brolucizumab,Diabetic Macular Edema (DME),6,every 8-12 weeks,6/0.05 pre-filled syringe|6/0.05 vial,intravitreal,0.08,S1P (Ocular Antineovascularisation Products)
burosumab,X-linked hypophosphatemia,70,every 4 weeks,10/1 vial|20/1 vial|30/1 vial,subcutaneous,2.49,M5X (All Other Musculoskeletal Products)
burosumab,tumor-induced osteomalacia,35,every 4 weeks,10/1 vial|20/1 vial|30/1 vial,subcutaneous,1.25,M5X (All Other Musculoskeletal Products)
canakinumab,CAPS,150,every 8 weeks,150/1 vial,subcutaneous,2.47,L4C (Interleukin Inhibitors)
caplacizumab,acquired thrombotic thrombocytopenic purpura (aTTP),11,daily,11 vial,subcutaneous,11,B1X (Other Antithrombotic Agents)
cemiplimab,metastatic cutaneous squamous cell carcinoma,350,every 3 weeks,350/7 vial,intravenous,16.3,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
cemiplimab,locally advanced cutaneous squamous cell carcinoma,350,every 3 weeks,350/7 vial,intravenous,16.3,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
cemiplimab,adjuvant cutaneous squamous cell carcinoma high risk of recurrence,350,every 3 weeks for 12 weeks then 700 every 6 weeks,350/7 vial,intravenous,13.42,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
cemiplimab,locally advanced basal cell carcinoma,350,every 3 weeks,350/7 vial,intravenous,16.3,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
cemiplimab,metastatic basal cell carcinoma,350,every 3 weeks,350/7 vial,intravenous,16.3,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
cemiplimab,non-small cell lung cancer,350,every 3 weeks,350/7 vial,intravenous,16.3,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
certolizumab,Crohn's Disease,400,every 4 weeks,200/1 vial|200/1 syringe,subcutaneous,14.25,L4B (Anti-TNF Products)
certolizumab,Rheumatoid Arthritis,400,every 4 weeks,200/1 vial|200/1 syringe,subcutaneous,14.25,L4B (Anti-TNF Products)
certolizumab,Psoriatic Arthritis,400,every 4 weeks,200/1 vial|200/1 syringe,subcutaneous,14.25,L4B (Anti-TNF Products)
certolizumab,Ankylosing Spondylitis,400,every 4 weeks,200/1 vial|200/1 syringe,subcutaneous,14.25,L4B (Anti-TNF Products)
certolizumab,Non-radiographic Axial Spondyloarthritis,400,every 4 weeks,200/1 vial|200/1 syringe,subcutaneous,14.25,L4B (Anti-TNF Products)
certolizumab,Plaque Psoriasis,300,every other week,200/1 vial|200/1 syringe,subcutaneous,21.37,L4B (Anti-TNF Products)
cetuximab,Head and Neck Cancer,850,every 2 weeks,100/50 vial|200/100 vial,intravenous,60.55,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
cetuximab,Colorectal Cancer,850,every 2 weeks,100/50 vial|200/100 vial,intravenous,60.55,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
cetuximab,BRAF V600E Mutation-Positive Metastatic Colorectal Cancer with encorafenib,425,weekly,100/50 vial|200/100 vial,intravenous,60.55,L1G4 (Monoclonal Antibody Antineoplastics EGFR)
cosibelimab,metastatic cutaneous squamous cell carcinoma (mCSCC) or locally advanced CSCC (laCSCC) who are not candidates for curative surgery or curative radiation,1200,every 3 weeks,300/5 vial,intravenous,55.89,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
crizanlizumab,sickle cell disease - reduce frequency of vaso-occlusive crises,350,every 4 weeks,100/10 vial,intravenous,12.47,B6X (Other Haematological Agents)
daratumumab,multiple myeloma,1120,every 4 weeks,100/5 vial|400/20 vial,intravenous,39.89,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,multiple myeloma,1800,every four weeks,1800/15 vial,subcutaneous,64.11,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,high-risk smoldering multiple myeloma,1800,every four weeks,1800/15 vial,subcutaneous,64.11,L1G9 (Monoclonal Antibody Antineoplastics Other)
daratumumab,light chain amyloidosis,1800,every four weeks,1800/15 vial,subcutaneous,64.11,L1G9 (Monoclonal Antibody Antineoplastics Other)
datopotamab,Locally Advanced or Metastatic EGFR-Mutated Non-Small Cell Lung Cancer (NSCLC),420,every 3 weeks,100 vial,intravenous,19.56,L1G9 (Monoclonal Antibody Antineoplastics Other)
datopotamab,"Unresectable or Metastatic, HR-Positive, HER2-Negative Breast Cancer",420,every 3 weeks,100 vial,intravenous,19.56,L1G9 (Monoclonal Antibody Antineoplastics Other)
denosumab,postmenopausal women with osteoporosis at high risk for fracture,60,every 6 months,60/1 syringe,subcutaneous,0.33,M5B9 (Other Bone Calcium Regulators)
denosumab,men with osteoporosis at high risk for fracture,60,every 6 months,60/1 syringe,subcutaneous,0.33,M5B9 (Other Bone Calcium Regulators)
denosumab,glucocorticoid-induced osteoporosis in men and women at high risk for fracture,60,every 6 months,60/1 syringe,subcutaneous,0.33,M5B9 (Other Bone Calcium Regulators)
denosumab,men at high risk for fracture receiving androgen deprivation therapy for nonmetastatic prostate cancer,60,every 6 months,60/1 syringe,subcutaneous,0.33,M5B9 (Other Bone Calcium Regulators)
denosumab,women at high risk for fracture receiving adjuvant aromatase inhibitor therapy for breast cancer,60,every 6 months,60/1 syringe,subcutaneous,0.33,M5B9 (Other Bone Calcium Regulators)
denosumab,Multiple Myeloma and Bone Metastasis from Solid Tumors,120,every 4 weeks,120/1.7 vial,subcutaneous,4.27,M5B9 (Other Bone Calcium Regulators)
denosumab,Giant Cell Tumor of Bone,120,every 4 weeks,120/1.7 vial,subcutaneous,4.27,M5B9 (Other Bone Calcium Regulators)
denosumab,Hypercalcemia of Malignancy,120,every 4 weeks,120/1.7 vial,subcutaneous,4.27,M5B9 (Other Bone Calcium Regulators)
depemokimab,severe asthma characterized by an eosinophilic phenotype,100,every 6 months,100/1 pen|100/1 syringe,subcutaneous,0.55,R3M (Interleukin Inhibitor Anti-Asthmatics)
dinutuximab,high-risk neuroblastoma,52.5,daily for 4 consecutive days per cycle,17.5/5 vial,intravenous,2.88,L1G9 (Monoclonal Antibody Antineoplastics Other)
donanemab,Alzheimer's disease,1400,every 4 weeks,350/20 vial,intravenous,49.86,N7D9 (All Other Anti-Alzheimer Products)
dostarlimab,primary advanced or recurrent endometrial cancer (combination therapy),500,"every 3 weeks for 6 cycles, then 1000 mg every 6 weeks",500/10 vial,intravenous,19.18,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
dostarlimab,primary advanced or recurrent endometrial cancer (maintenance monotherapy),1000,every 6 weeks,500/10 vial,intravenous,21.92,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
dostarlimab,dMMR recurrent or advanced endometrial cancer,1000,every 6 weeks,500/10 vial,intravenous,21.92,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
dostarlimab,dMMR recurrent or advanced solid tumors,1000,every 6 weeks,500/10 vial,intravenous,21.92,L1G5 (Monoclonal Antibody Antineoplastics PD-1/PD-L1)
dupilumab,Atopic Dermatitis,300,every 2 weeks,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,21.37,L4C (Interleukin Inhibitors)
dupilumab,Asthma,250,every 2 weeks,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,17.81,L4C (Interleukin Inhibitors)
dupilumab,Chronic Rhinosinusitis with Nasal Polyps,300,every 2 weeks,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,21.37,L4C (Interleukin Inhibitors)
dupilumab,Eosinophilic Esophagitis,300,every week,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,42.74,L4C (Interleukin Inhibitors)
dupilumab,Prurigo Nodularis,300,every 2 weeks,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,21.37,L4C (Interleukin Inhibitors)
dupilumab,Chronic Obstructive Pulmonary Disease,300,every 2 weeks,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,21.37,L4C (Interleukin Inhibitors)
dupilumab,Chronic Spontaneous Urticaria,300,every 2 weeks,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,21.37,L4C (Interleukin Inhibitors)
dupilumab,Bullous Pemphigoid,300,every 2 weeks,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,21.37,L4C (Interleukin Inhibitors)
dupilumab,Allergic Fungal Rhinosinusitis,300,every 2 weeks,300/2 syringe|300/2 pen|200/1.14 syringe|200/1.14 pen,subcutaneous,21.37,L4C (Interleukin Inhibitors)
eculizumab,PNH,900,every 2 weeks,300/30 vial,intravenous,64.29,L4E (Complement Inhibitors)
eculizumab,aHUS,1200,every 2 weeks,300/30 vial,intravenous,85.71,L4E (Complement Inhibitors)
eculizumab,gMG,1200,every 2 weeks,300/30 vial,intravenous,85.71,L4E (Complement Inhibitors)
eculizumab,NMOSD,1200,every 2 weeks,300/30 vial,intravenous,85.71,L4E (Complement Inhibitors)
elotuzumab,multiple myeloma with lenalidomide and dexamethasone (1-3 prior therapies),700,every 2 weeks,300 vial|400 vial,intravenous,49.86,L1G9 (Monoclonal Antibody Antineoplastics Other)
elotuzumab,multiple myeloma with pomalidomide and dexamethasone (≥2 prior therapies including lenalidomide and proteasome inhibitor),1400,every 4 weeks,300 vial|400 vial,intravenous,49.86,L1G9 (Monoclonal Antibody Antineoplastics Other)
emapalumab,primary hemophagocytic lymphohistiocytosis,70,twice per week,10/2 vial|50/10 vial|100/20 vial|50/2 vial|100/4 vial|250/10 vial|500/20 vial,intravenous,19.95,L4X (Other Immunosuppressants)
emapalumab,hemophagocytic lymphohistiocytosis/macrophage activation syndrome in Still's disease,210,twice per week,10/2 vial|50/10 vial|100/20 vial|50/2 vial|100/4 vial|250/10 vial|500/20 vial,intravenous,59.84,L4X (Other Immunosuppressants)
emicizumab,hemophilia A prophylaxis,210,every two weeks,12/0.4|30/1|60/0.4|105/0.7|150/1|300/2,subcutaneous,14.96,B2D1 (Factor VIII Including Substitutes)
enfortumab,muscle invasive bladder cancer (MIBC) - neoadjuvant/adjuvant with pembrolizumab,87.5,days 1 and 8 of 21-day cycle,20 vial|30 vial,intravenous,3.84,L1G9 (Monoclonal Antibody Antineoplastics Other)
enfortumab,locally advanced or metastatic urothelial cancer (mUC) - combination with pembrolizumab,87.5,days 1 and 8 of 21-day cycle,20 vial|30 vial,intravenous,3.84,L1G9 (Monoclonal Antibody Antineoplastics Other)
enfortumab,locally advanced or metastatic urothelial cancer (mUC) - single agent,87.5,"days 1, 8, and 15 of 28-day cycle",20 vial|30 vial,intravenous,5.75,L1G9 (Monoclonal Antibody Antineoplastics Other)
epcoritamab,relapsed or refractory diffuse large B-cell lymphoma (DLBCL) and high-grade B-cell lymphoma,48,every 4 weeks,4/0.8 vial|48/0.8 vial,subcutaneous,1.71,L1G1 (Monoclonal Antibody Antineoplastics CD20)
epcoritamab,relapsed or refractory follicular lymphoma (FL) - monotherapy,48,every 4 weeks,4/0.8 vial|48/0.8 vial,subcutaneous,1.71,L1G1 (Monoclonal Antibody Antineoplastics CD20)
epcoritamab,relapsed or refractory follicular lymphoma (FL) - combination with lenalidomide and rituximab,48,every 4 weeks,4/0.8 vial|48/0.8 vial,subcutaneous,1.71,L1G1 (Monoclonal Antibody Antineoplastics CD20)
eptinezumab,preventive treatment of migraine,200,every 3 months,100/1 vial,intravenous,2.19,N2C2 (Anti-Migraine CGRP Antagonists)
erenumab,preventive treatment of migraine,70,once monthly,70/1 autoinjector|70/1 syringe|140/1 autoinjector|140/1 syringe,subcutaneous,2.33,N2C2 (Anti-Migraine CGRP Antagonists)
evinacumab,homozygous familial hypercholesterolemia,1050,once monthly,345/2.3 vial|1200/8 vial,intravenous,37.4,C10A9 (Lipid-Regulating Products Other)
evolocumab,CV risk reduction,420,once monthly,140/1 autoinjector|140/1 syringe|420/3.5 on-body infusor,subcutaneous,14.95,C10A4 (PCSK9 Inhibitors)
evolocumab,hypercholesterolemia,420,once monthly,140/1 autoinjector|140/1 syringe|420/3.5 on-body infusor,subcutaneous,14.95,C10A4 (PCSK9 Inhibitors)
evolocumab,HeFH,420,once monthly,140/1 autoinjector|140/1 syringe|420/3.5 on-body infusor,subcutaneous,14.95,C10A4 (PCSK9 Inhibitors)
evolocumab,HoFH,420,once monthly,140/1 autoinjector|140/1 syringe|420/3.5 on-body infusor,subcutaneous,14.95,C10A4 (PCSK9 Inhibitors)
fam-trastuzumab,HER2-Positive Metastatic Breast Cancer,378,every 3 weeks,100 vial,intravenous,18,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
fam-trastuzumab,HER2-Low Metastatic Breast Cancer,378,every 3 weeks,100/1 vial,intravenous,18,L1G3 (Monoclonal Antibody Antineoplastics HER-2)
